arabic_name,english_name,source,original_arabic,original_english,arabic_normalized,english_cleaned,arabic_length,english_length
الرحيبه,Al-Rahibah,split,شعبو - الرحيبه,Sha'bo - Al-Rahibah,الرحيبه,Al-Rahibah,7,10
العراقي,Al-'Iraqi,split,المقيصع - العراقي,Al-Muqaysi' - Al-'Iraqi,العراقي,Al-'Iraqi,7,9
المناصب,Al-Manasib,split,المزانده - المناصب,Al-Mazanda - Al-Manasib,المناصب,Al-Manasib,7,10
مقدم راس,Muqaddam Ras,split,مقدم راس - المنيدمه,Muqaddam Ras - Al-Munaydimah,مقدم راس,Muqaddam Ras,8,12
الغيل,Al-Ghayl,split,الغيل - العقبه,Al-Ghayl - Al-Aqaba,الغيل,Al-Ghayl,5,8
وادي مكسب,Wadi Makasab,split,وادي مكسب - المدهف,Wadi Makasab - Al-Madhaf,وادي مكسب,Wadi Makasab,9,12
العراعر,Al-Ara'ir,split,العراعر - نجد العراعر,Al-Ara'ir - Najd Al-Ara'ir,العراعر,Al-Ara'ir,7,9
العقوره,Al-'Aqurah,split,الحد - العقوره,Al-Had - Al-'Aqurah,العقوره,Al-'Aqurah,7,10
حنه العليا,Hanna Al-Ulya,split,حنه العليا - الرقه,Hanna Al-Ulya - Al-Raqqa,حنه العليا,Hanna Al-Ulya,10,13
جحزر,Jahzar,split,جحزر - الطور,Jahzar - al-Tur,جحزر,Jahzar,4,6
العفيرة,Al-Afira,split,العفيرة - المناقد,Al-Afira - Al-Manaqid,العفيرة,Al-Afira,7,8
المخاسع,Al-Makhasa,split,حسي بن علوان - المخاسع,Hassi Bin Alwan - Al-Makhasa,المخاسع,Al-Makhasa,7,10
شعبة النجد,Sha'bat al-Najd,split,القشعه - شعبة النجد,al-Qash'a - Sha'bat al-Najd,شعبة النجد,Sha'bat al-Najd,10,15
وادي البير,Wadi Al-Bir,split,وادي البير - الدار,Wadi Al-Bir - Al-Dar,وادي البير,Wadi Al-Bir,10,11
الضبة,Al-Dhabah,split,الشبارة - الضبة,Al-Shabarah - Al-Dhabah,الضبة,Al-Dhabah,5,9
الروينة,Al-Ruwayna,split,الازيود - الروينة,Al-Azyoud - Al-Ruwayna,الروينة,Al-Ruwayna,7,10
الغريف,Al-Gharif,split,الغريف - حبوة الموينس,Al-Gharif - Habwah Al-Muwaynis,الغريف,Al-Gharif,6,9
الطوير,Al-Tuwair,split,الطوير - الزهيب,Al-Tuwair - Al-Zuhayb,الطوير,Al-Tuwair,6,9
الدخل,Al-Dakhil,split,الغرافي - الدخل,Al-Gharrafi - Al-Dakhil,الدخل,Al-Dakhil,5,9
الكربه,Al-Karba,split,بوميه - الكربه,Bumiya - Al-Karba,الكربه,Al-Karba,6,8
السويداء,Al-Suwayda',split,السويداء - الرقع,Al-Suwayda' - Al-Ruqa',السويداء,Al-Suwayda',8,11
المغدر,Al-Maghdar,split,المغدر - المقيبره,Al-Maghdar - Al-Maqibra,المغدر,Al-Maghdar,6,10
السويهره,Al-Suwayhirah,split,السويهره - الشويرح,Al-Suwayhirah - Al-Shuwayrih,السويهره,Al-Suwayhirah,8,13
بني عامر,Bani Amer,split,بني عامر - السند,Bani Amer - al-Sind,بني عامر,Bani Amer,8,9
الحفيظة,Al-Hafizah,split,المعامرة - الحفيظة,Al-Ma'amrah - Al-Hafizah,الحفيظة,Al-Hafizah,7,10
بني حجاج,Bani Hajjaj,split,بني حجاج - حول السوق,Bani Hajjaj - Hawl Al-Souq,بني حجاج,Bani Hajjaj,8,11
الدعامه,Al-Da'amah,split,مقدم راس - الدعامه,Muqaddam Ras - Al-Da'amah,الدعامه,Al-Da'amah,7,10
الفريخه,Al-Farikha,split,المقيصع - الفريخه,Al-Muqaysi' - Al-Farikha,الفريخه,Al-Farikha,7,10
الصنمه,Al-Sanmah,split,الصنمه - حارك النوبة,Al-Sanmah - Harik Al-Nawbah,الصنمه,Al-Sanmah,6,9
المدروك,Al-Madrouk,split,المقلب - المدروك,Al-Maqlab - Al-Madrouk,المدروك,Al-Madrouk,7,10
جسر رسيان,Rasian Bridge,split,جسر رسيان - الحقيره,Rasian Bridge - Al-Haqira,جسر رسيان,Rasian Bridge,9,13
المعاين,Al-muaeen,split,السويهره - المعاين,Al Suwayhira - Al-muaeen,المعاين,Al-muaeen,7,9
القر,Al-Qar,split,الكربه - القر,Al-Karbah - Al-Qar,القر,Al-Qar,4,6
القشعه,Al-Qash'ah,split,القشعه - القريه,Al-Qash'ah - Al-Qaryah,القشعه,Al-Qash'ah,6,10
الطوير,Al-Tuwair,split,الطوير - الدماهيه,Al-Tuwair - Al-Damahiyyah,الطوير,Al-Tuwair,6,9
رهبه,Rahbah,split,رهبه - الجدل,Rahbah - Al-Jadal,رهبه,Rahbah,4,6
القشعه,Al-Qash'ah,split,القشعه - زبيد,Al-Qash'ah - Zubayd,القشعه,Al-Qash'ah,6,10
قرحه,Qarhah,original,,,قرحه,Qarhah,4,6
العشيرة,Al-Ashira,split,العشيرة - العشيرة,Al-Ashira - Al-Ashira,العشيرة,Al-Ashira,7,9
المقيصع,Al-Muqaysi',split,المقيصع - السريبه,Al-Muqaysi' - Al-Suraybah,المقيصع,Al-Muqaysi',7,11
شعبو,Sha'bu,split,شعبو - الملاقي,Sha'bu - Al-Mulaqi,شعبو,Sha'bu,4,6
القحاف,Al-Qahaf,split,بني دريغم - القحاف,Bani Drigham - Al-Qahaf,القحاف,Al-Qahaf,6,8
الذريع,Al-Dhari',split,الطوير - الذريع,Al-Tuwair - Al-Dhari',الذريع,Al-Dhari',6,9
العداين,Al-Adain,split,الغرافي - العداين,Al-Gharrafi - Al-Adain,العداين,Al-Adain,7,8
العريق,Al-Areeq,split,الكدحه - العريق,Al-Kadha - Al-Areeq,العريق,Al-Areeq,6,8
الجدبة,al-Jadbah,split,جحزر - الجدبة,Jahzar - al-Jadbah,الجدبة,al-Jadbah,6,9
العقير,Al-Aqir,split,الخنهه - العقير,Al-Khanah - Al-Aqir,العقير,Al-Aqir,6,7
مقدم راس,Muqaddam Ras,split,مقدم راس - الحقارين,Muqaddam Ras - Al-Haqariin,مقدم راس,Muqaddam Ras,8,12
الشقيراء,Al-Shaqira',split,الشقيراء - الشعيب,Al-Shaqira' - Al-Shu'ayb,الشقيراء,Al-Shaqira',8,11
قريع,Qari',split,الطوير - قريع,Al-Tuwair - Qari',قريع,Qari',4,5
المشرفه,Al-Mushrifa,split,العارضه - المشرفه,Al-'Arida - Al-Mushrifa,المشرفه,Al-Mushrifa,7,11
الحييمة,Al-Haymah,split,الحييمة - الشوصره,Al-Haymah - Al-Shawsirah,الحييمة,Al-Haymah,7,9
الجريب,Al-Jarib,split,الجريب - البزيه,Al-Jarib - Al-Baziyah,الجريب,Al-Jarib,6,8
شعب سويلم,Sha'b Suwaylim,split,الركز - شعب سويلم,al-Rukz - Sha'b Suwaylim,شعب سويلم,Sha'b Suwaylim,9,14
الحجيره,Al-Hujayrah,split,الحجيره - الهيوج,Al-Hujayrah - Al-Hayyuj,الحجيره,Al-Hujayrah,7,11
يعاقبه,Yaaqaba,split,يعاقبه - حصب المحرق,Yaaqaba - Hasb almahriq,يعاقبه,Yaaqaba,6,7
الجريب,Al-Jarib,split,الجريب - جبل النار,Al-Jarib - Jabal Al-Nar,الجريب,Al-Jarib,6,8
حليصه,Halisah,split,الطوير - حليصه,Al-Tuwair - Halisah,حليصه,Halisah,5,7
اللسانيه,Allisanih,split,يعاقبه - اللسانيه,Yaaqaba - Allisanih,اللسانيه,Allisanih,8,9
الخراف,Al-Kharaf,split,وادي موثب - الخراف,Wadi Muthab - Al-Kharaf,الخراف,Al-Kharaf,6,9
الدمسي,Al-Damsi,split,بني دريغم - الدمسي,Bani Drigham - Al-Damsi,الدمسي,Al-Damsi,6,8
السويدا,Al-Suwaida,original,,,السويدا,Al-Suwaida,7,10
وادي المعقم,Wadi Al-Mu'aqam,split,وادي المعقم - الحصب,Wadi Al-Mu'aqam - Al-Hasab,وادي المعقم,Wadi Al-Mu'aqam,11,15
الدحيم,Al-Duhaym,split,الحجافيه - الدحيم,Al-Hajafiyah - Al-Duhaym,الدحيم,Al-Duhaym,6,9
الشجين,Al-Shajin,split,يعاقبه - الشجين,Yaaqaba - Al-Shajin,الشجين,Al-Shajin,6,9
وادي المعقم,Wadi Al-Mu'aqam,split,وادي المعقم - الدار,Wadi Al-Mu'aqam - Al-Dar,وادي المعقم,Wadi Al-Mu'aqam,11,15
الكربه,Al-Karbah,split,الكربه - الكربة السفلى,Al-Karbah - Al-Karbah Al-Sufla,الكربه,Al-Karbah,6,9
المزانده,Al-Mazanda,split,المزانده - جرابه,Al-Mazanda - Jarabah,المزانده,Al-Mazanda,8,10
سحـر,Sahar,split,القطين - سحـر,AL-Qateen - Sahar,سحر,Sahar,3,5
الرجاح,Ar-Rajah,split,العفيرة - الرجاح,Al-Afira - Ar-Rajah,الرجاح,Ar-Rajah,6,8
الجروبة,Al-Jarouba,original,,,الجروبة,Al-Jarouba,7,10
وادي موثب,Wadi Muthab,split,وادي موثب - المدقوع,Wadi Muthab - Al-Madqu',وادي موثب,Wadi Muthab,9,11
المقضي,Al-Maqdi,split,بني دريغم - المقضي,Bani Drigham - Al-Maqdi,المقضي,Al-Maqdi,6,8
القحيزه,Al-Qahizah,split,القحيزه - الاعصره,Al-Qahizah - Al-A'sarah,القحيزه,Al-Qahizah,7,10
البانة,al-Bana,split,جحزر - البانة,Jahzar - al-Bana,البانة,al-Bana,6,7
الدمدم,Al-Damdam,split,حنه العليا - الدمدم,Hanna Al-Ulya - Al-Damdam,الدمدم,Al-Damdam,6,9
القريعاء,Al-Qari'ah,split,العفيرة - القريعاء,Al-Afirah - Al-Qari'ah,القريعاء,Al-Qari'ah,8,10
الصراره,Al-Sarrah,split,العقمه - الصراره,Al-Aqmah - Al-Sarrah,الصراره,Al-Sarrah,7,9
العقمه,Al-Aqmah,split,العقمه - الشمليه,Al-Aqmah - Al-Shamaliyah,العقمه,Al-Aqmah,6,8
الشوصره,Al-Shawsirah,split,الحييمة - الشوصره,Al-Haymah - Al-Shawsirah,الشوصره,Al-Shawsirah,7,12
بني الحكم,Bani Al-Hakam,split,بني الحكم - الميثاق,Bani Al-Hakam - Al-Mithaq,بني الحكم,Bani Al-Hakam,9,13
العدينه,Al-Adina,split,بوميه - العدينه,Bumiya - Al-Adina,العدينه,Al-Adina,7,8
القحاف,Al-Qahaf,split,القطين - القحاف,AL-Qateen - Al-Qahaf,القحاف,Al-Qahaf,6,8
الطوير,Al-Tuwair,split,الطوير - القلعه,Al-Tuwair - Al-Qal'a,الطوير,Al-Tuwair,6,9
العريش,Al-Arish,split,العريش - الكاذيه,Al-Arish - Al-Kadhiyah,العريش,Al-Arish,6,8
القشعه,al-Qash'a,original,,,القشعه,al-Qash'a,6,9
وادي جدار,Wadi Jidar,split,واحجه - وادي جدار,Wahja - Wadi Jidar,وادي جدار,Wadi Jidar,9,10
الصنمه,Al-Sanmah,split,الصنمه - العراميه,Al-Sanmah - Al-'Aramiyah,الصنمه,Al-Sanmah,6,9
القطنه,Al-Qatna,split,بوميه - القطنه,Bumiya - Al-Qatna,القطنه,Al-Qatna,6,8
الخباه,Al-Khabah,original,,,الخباه,Al-Khabah,6,9
القشعه,Al-Qash'ah,split,القشعه - الكبب,Al-Qash'ah - Al-Kabab,القشعه,Al-Qash'ah,6,10
الحجافيه,Al-Hajafiyah,split,الحجافيه - جبل الحداد,Al-Hajafiyah - Jabal Al-Haddad,الحجافيه,Al-Hajafiyah,8,12
قبقبة,Qabqabah,split,الشبارة - قبقبة,Al-Shabarah - Qabqabah,قبقبة,Qabqabah,5,8
الخيفه,al-Khaifah,split,الخيفه - دهل الديمه,al-Khaifah - Dahl al-Dima,الخيفه,al-Khaifah,6,10
النوازل,Al-Nawazil,split,النوازل - الشعوب,Al-Nawazil - Al-Shu'ub,النوازل,Al-Nawazil,7,10
جرنزه,Jarnazah,split,الطوير - جرنزه,Al-Tuwair - Jarnazah,جرنزه,Jarnazah,5,8
الشريج,Al-Sharij,split,عسق - الشريج,Asaq - Al-Sharij,الشريج,Al-Sharij,6,9
جبل الحكيمه,Jabal Al-Hakimah,split,جبل الحكيمه - الملصوب,Jabal Al-Hakimah - Al-Malasub,جبل الحكيمه,Jabal Al-Hakimah,11,16
رداع - الميدان,Rada-Al-Maydan,original,,,رداع - الميدان,Rada-Al-Maydan,14,14
القطنة,Al-Qatna,split,حسي بن علوان - القطنة,Hassi Bin Alwan - Al-Qatna,القطنة,Al-Qatna,6,8
الاتيمه,Al-Atima,split,الاتيمه - الهداله,Al-Atima - Al-Hadalah,الاتيمه,Al-Atima,7,8
المربعه,Al-Murabba'a,split,وادي الاحمر - المربعه,Wadi Al-Ahmar - Al-Murabba'a,المربعه,Al-Murabba'a,7,12
الغول,Al-Ghul,split,وادي المعقم - الغول,Wadi Al-Mu'aqam - Al-Ghul,الغول,Al-Ghul,5,7
الدار,Al-Dar,split,وادي البير - الدار,Wadi Al-Bir - Al-Dar,الدار,Al-Dar,5,6
موزع,Mawza',split,موزع - الدائري الشمالي,Mawza' - Al-Da'iri Al-Shamali,موزع,Mawza',4,6
العارضه,Al-Ardah,split,العارضه - هيجة دويد,Al-Ardah - Hijah Duwaid,العارضه,Al-Ardah,7,8
العشة,Al-Ashah,split,الحقل - العشة,Al-Haqal - Al-Ashah,العشة,Al-Ashah,5,8
جبل العمري -بدو رحل,Jabal Al-'Umari (Bedouin nomads),original,,,جبل العمري -بدو رحل,Jabal Al-'Umari (Bedouin nomads),19,32
الشباب,Al-Shabab,original,,,الشباب,Al-Shabab,6,9
البليلي,Al-Balili,split,البليلي - قواح,Al-Balili - Qawah,البليلي,Al-Balili,7,9
العقمه,Al-Aqmah,split,العقمه - المقصاب,Al-Aqmah - Al-Maqsab,العقمه,Al-Aqmah,6,8
المصيرع,al-Musayri',split,وادي سعاده - المصيرع,Wadi Sa'adah - al-Musayri',المصيرع,al-Musayri',7,11
الشعيب,Al-Shuaib,split,الشعيب - مسلقه,Al-Shuaib - Maslaqah,الشعيب,Al-Shuaib,6,9
الشط,Al-Shatt,split,المعامرة - الشط,Al-Ma'amara - Al-Shatt,الشط,Al-Shatt,4,8
الحسنيه,Al-Hasaniyah,split,الكديحة - الحسنيه,Al-Kadihah - Al-Hasaniyah,الحسنيه,Al-Hasaniyah,7,12
حسي سالم,Hassi Salem,split,حسي سالم - دار الشجاع,Hassi Salem - Dar Al-Shuja',حسي سالم,Hassi Salem,8,11
الكدره,Al-Kadrah,split,الهاملي - الكدره,Al-Hamli - Al-Kadrah,الكدره,Al-Kadrah,6,9
الدربوش,Al-Darboush,split,البليلي - الدربوش,Al-Balili - Al-Darboush,الدربوش,Al-Darboush,7,11
الضيجه,Ad-Dhayjah,split,الضيجه - القحفة,Ad-Dhayjah - Al-Qahfah,الضيجه,Ad-Dhayjah,6,10
الميسعه,Al-Maysa’a,split,يعاقبه - الميسعه,Yaaqaba - Al-Maysa’a,الميسعه,Al-Maysa’a,7,10
الخنيف,Al-Khanif,split,الشقيراء - الخنيف,Al-Shaqira' - Al-Khanif,الخنيف,Al-Khanif,6,9
وادي الشط,Wadi Al-Shatt,split,وادي الشط - الشرف,Wadi Al-Shatt - Al-Sharaf,وادي الشط,Wadi Al-Shatt,9,13
الردف,Al-Radf,split,الردف - الجشيم,Al-Radf - Al-Jashim,الردف,Al-Radf,5,7
شبيه,Shabih,split,شبيه - حصب السياري,Shabih - Hasab Al-Sayyari,شبيه,Shabih,4,6
حنه العليا,Hannah Al-Ulya,split,حنه العليا - الشلبيه,Hannah Al-Ulya - Al-Shalabiya,حنه العليا,Hannah Al-Ulya,10,14
مبتعه,Mabta'ah,split,مبتعه - الرفصه,Mabta'ah - Al-Rafsah,مبتعه,Mabta'ah,5,8
الدييمه,Al-Daymah,split,الدييمه - البطاح,Al-Daymah - Al-Bataah,الدييمه,Al-Daymah,7,9
الكدام,Al-Kadam,split,الازيود - الكدام,Al-Azyoud - Al-Kadam,الكدام,Al-Kadam,6,8
الدييمه,Al-Daymah,split,الدييمه - هيجةجهلان,Al-Daymah - Hayjah Jahlan,الدييمه,Al-Daymah,7,9
شعب الحشور,Sha'ab Al-Hashur,split,الردف - شعب الحشور,Al-Radf - Sha'ab Al-Hashur,شعب الحشور,Sha'ab Al-Hashur,10,16
بني دريغم,Bani Drigham,split,بني دريغم - بيت البكيري,Bani Drigham - Bayt Al-Bakiri,بني دريغم,Bani Drigham,9,12
النجله,Al-Najlah,split,السويداء - النجله,Al-Suwayda' - Al-Najlah,النجله,Al-Najlah,6,9
الطوير,Al-Tuwair,split,الطوير - الخرابه,Al-Tuwair - Al-Kharaba,الطوير,Al-Tuwair,6,9
شرح,Sharh,split,شرح - المحامل,Sharh - Al-Mahamil,شرح,Sharh,3,5
الصرواح,Al-Sarwah,split,وادي المعقم - الصرواح,Wadi Al-Mu'aqam - Al-Sarwah,الصرواح,Al-Sarwah,7,9
الحجيج,al-Hajjaj,split,الجبيه - الحجيج,al-Jubayyah - al-Hajjaj,الحجيج,al-Hajjaj,6,9
عبدالقادر,Abdul Qadir,split,المعصرة - عبدالقادر,Al-Ma'sara - Abdul Qadir,عبدالقادر,Abdul Qadir,9,11
جبل حازمي,Jabal Hazmi,split,النوازل - جبل حازمي,Al-Nawazil - Jabal Hazmi,جبل حازمي,Jabal Hazmi,9,11
الغريف,Al-Gharif,split,الغريف - طره الجويعي,Al-Gharif - Tarah Al-Juway'i,الغريف,Al-Gharif,6,9
الوطيف,Al-Watif,split,بني حجاج - الوطيف,Bani Hajjaj - Al-Watif,الوطيف,Al-Watif,6,8
الغيل,Al-Ghayl,split,الغيل - الحفيره,Al-Ghayl - Al-Hafira,الغيل,Al-Ghayl,5,8
الحرزه,Al-Harzah,split,العريش - الحرزه,Al-Arish - Al-Harzah,الحرزه,Al-Harzah,6,9
الكدحه,Al-Kadha,split,بحاره - الكدحه,Bahara - Al-Kadha,الكدحه,Al-Kadha,6,8
العريش,Al-Arish,split,العريش - المعيطه,Al-Arish - Al-Mu'ayta,العريش,Al-Arish,6,8
الوسيطان,al-Wasitayn,split,الجبيه - الوسيطان,al-Jubayyah - al-Wasitayn,الوسيطان,al-Wasitayn,8,11
المخشب,Al-Mukhshab,split,حصيب القوبه - المخشب,Hasib Al-Qubbah - Al-Mukhshab,المخشب,Al-Mukhshab,6,11
رداع - محروضه,Rada-Mahroudah,original,,,رداع - محروضه,Rada-Mahroudah,13,14
بني عامر,Bani Amer,split,بني عامر - بيت الحرف,Bani Amer - Bayt al-Harf,بني عامر,Bani Amer,8,9
الجبانه,Al-Jubana,split,بني حجاج - الجبانه,Bani Hajjaj - Al-Jubana,الجبانه,Al-Jubana,7,9
الفقره,Al-Faqrah,split,بني حجاج - الفقره,Bani Hajjaj - Al-Faqrah,الفقره,Al-Faqrah,6,9
البارز,Al-barez,split,السويهره - البارز,Al Suwayhira - Al-barez,البارز,Al-barez,6,8
دار الخبت,Dar Al-Khabt,split,المناصيب - دار الخبت,Al-Manasib - Dar Al-Khabt,دار الخبت,Dar Al-Khabt,9,12
القاردة,Al-Qarda,split,جعاشي - القاردة,Ja'ashi - Al-Qarda,القاردة,Al-Qarda,7,8
بني دريغم,Bani Drigham,split,بني دريغم - قبه الفقيه,Bani Drigham - Qubbat Al-Faqih,بني دريغم,Bani Drigham,9,12
بئر مالك,Bir Malik,split,المغدر - بئر مالك,Al-Maghdar - Bir Malik,بير مالك,Bir Malik,8,9
الرهيطه العليا,Al-Rahitah Al-'Ulya,split,الشقيراء - الرهيطه العليا,Al-Shuqayra - Al-Rahitah Al-'Ulya,الرهيطه العليا,Al-Rahitah Al-'Ulya,14,19
العماصي,Al-Amasi,split,شعبو - العماصي,Sha'bu - Al-Amasi,العماصي,Al-Amasi,7,8
العريديد,Al-'Aridid,split,محاطبه - العريديد,Mahatabah - Al-'Aridid,العريديد,Al-'Aridid,8,10
الرباعنه,Al-Raba'nah,split,الرباعنه - التعبره,Al-Raba'nah - Al-Ta'abrah,الرباعنه,Al-Raba'nah,8,11
البارك,al-Barak,split,حاضيه - البارك,Hadhiyah - al-Barak,البارك,al-Barak,6,8
الضيجه,Ad-Dhayjah,split,الضيجه - الحصب,Ad-Dhayjah - Al-Hasab,الضيجه,Ad-Dhayjah,6,10
العرجوش,Ar-'Arjush,original,,,العرجوش,Ar-'Arjush,7,10
رهبه,Rahbah,split,رهبه - النوبه,Rahbah - Al-Nawbah,رهبه,Rahbah,4,6
اوجافــه,Awjafa,split,النوازل - اوجافــه,Al-Nawazil - Awjafa,اوجافه,Awjafa,6,6
السويهره,Al Suwayhira,original,,,السويهره,Al Suwayhira,8,12
الغيل,Al-Ghayl,split,الغيل - حصب العزيبه,Al-Ghayl - Hasab Al-Aziba,الغيل,Al-Ghayl,5,8
جبل الحكيمه,Jabal al-Hakimah,split,جبل الحكيمه - الفوشه,Jabal al-Hakimah - al-Fawshah,جبل الحكيمه,Jabal al-Hakimah,11,16
حجيج,Hajij,split,وادي بكير - حجيج,Wadi Bakir - Hajij,حجيج,Hajij,4,5
الحجافيه,Al-Hajafiyah,split,الحجافيه - جبل البعيصي,Al-Hajafiyah - Jabal Al-Ba'isi,الحجافيه,Al-Hajafiyah,8,12
جعاشي,Ja'ashi,split,جعاشي - الشطيط,Ja'ashi - Al-Shatit,جعاشي,Ja'ashi,5,7
الحجاريه,Al-Hajariya,split,المقيصع - الحجاريه,Al-Muqaysi' - Al-Hajariya,الحجاريه,Al-Hajariya,8,11
وادي موثب,Wadi Muthab,split,وادي موثب - المبايض,Wadi Muthab - Al-Mubayidh,وادي موثب,Wadi Muthab,9,11
المهيوب,al-Mahyoub,split,الجبيه - المهيوب,al-Jubayyah - al-Mahyoub,المهيوب,al-Mahyoub,7,10
حسي سالم,Hassi Salem,split,حسي سالم - القنزيه,Hassi Salem - Al-Qanziyah,حسي سالم,Hassi Salem,8,11
شعبو,Sha'bu,split,شعبو - المشاهرة,Sha'bu - Al-Mashahirah,شعبو,Sha'bu,4,6
وادي سعاده,Wadi Sa'adah,split,وادي سعاده - المعسوق,Wadi Sa'adah - al-Ma'suq,وادي سعاده,Wadi Sa'adah,10,12
الشعب,Al-Sha'b,split,المقيصع - الشعب,Al-Muqaysi' - Al-Sha'b,الشعب,Al-Sha'b,5,8
عراكبه,'Arakbah,split,الضيجه - عراكبه,Ad-Dhayjah - 'Arakbah,عراكبه,'Arakbah,6,8
جعاشي,Ja'ashi,split,جعاشي - الشطين,Ja'ashi - Al-Shattin,جعاشي,Ja'ashi,5,7
الحدبه العليا,Al-Hadbah Al-'Ulya,split,الحدابيه - الحدبه العليا,Al-Hadabiyah - Al-Hadbah Al-'Ulya,الحدبه العليا,Al-Hadbah Al-'Ulya,13,18
السويداء,Al-Suwayda',split,السويداء - المغدر,Al-Suwayda' - Al-Maghdar,السويداء,Al-Suwayda',8,11
الابرحه,Al-Abraha,split,العفيرة - الابرحه,Al-Afira - Al-Abraha,الابرحه,Al-Abraha,7,9
قناهو بن علي,Qanahu Bin Ali,split,قناهو بن علي - عهوقه,Qanahu Bin Ali - Ahuqa,قناهو بن علي,Qanahu Bin Ali,12,14
جريزه,Jariza,split,جريزه - العوجاء,Jariza - Al-Awjaa,جريزه,Jariza,5,6
بني الحكم,Bani Al-Hakam,split,بني الحكم - المستشفى,Bani Al-Hakam - Al-Mustashfa,بني الحكم,Bani Al-Hakam,9,13
الجبيه,al-Jubayyah,split,الجبيه - القرف,al-Jubayyah - al-Qarf,الجبيه,al-Jubayyah,6,11
الحسيه,Al-Hasiya,split,حنه العليا - الحسيه,Hanna Al-Ulya - Al-Hasiya,الحسيه,Al-Hasiya,6,9
الجمعة,Al-Jum'ah,split,الجمعة - الخنيق,Al-Jum'ah - Al-Khaniq,الجمعة,Al-Jum'ah,6,9
وادي الرويعي,Wadi Al-Ruwa'i,split,الردف - وادي الرويعي,Al-Radf - Wadi Al-Ruwa'i,وادي الرويعي,Wadi Al-Ruwa'i,12,14
الزريبه,Al-Zariba,split,النوازل - الزريبه,Al-Nawazil - Al-Zariba,الزريبه,Al-Zariba,7,9
المخاء,Al-Mukha,split,المخاء - ابو أسماعيل,Al-Mukha - Abu Isma'il,المخاء,Al-Mukha,6,8
حمر,Hamr,split,حمر - المجوير,Hamr - Al-Majawir,حمر,Hamr,3,4
حنه العليا,Hanna Al-Ulya,split,حنه العليا - الحديده,Hanna Al-Ulya - Al-Hadida,حنه العليا,Hanna Al-Ulya,10,13
جبل الحكيمه,Jabal Al-Hakimah,split,جبل الحكيمه - الشعور,Jabal Al-Hakimah - Al-Shu'ur,جبل الحكيمه,Jabal Al-Hakimah,11,16
الظاهرة,Al-Dhahira,split,جعاشي - الظاهرة,Ja'ashi - Al-Dhahira,الظاهرة,Al-Dhahira,7,10
الجريب,Al-Jarib,split,الجريب - الشبع,Al-Jarib - Al-Shaba,الجريب,Al-Jarib,6,8
جبل الدبيزل,Jabal Al-Dubayzil,split,الحجافيه - جبل الدبيزل,Al-Hajafiyah - Jabal Al-Dubayzil,جبل الدبيزل,Jabal Al-Dubayzil,11,17
القشب,Al-Qashb,split,الغرافي - القشب,Al-Gharrafi - Al-Qashb,القشب,Al-Qashb,5,8
الضيجه,Al-Dhayjah,split,الضيجه - النوبه,Al-Dhayjah - Al-Nawbah,الضيجه,Al-Dhayjah,6,10
الحبوه,Al-Habwa,split,الحياجي - الحبوه,Al-Hayaji - Al-Habwa,الحبوه,Al-Habwa,6,8
الشبارة,Al-Shabarah,split,الشبارة - قبقبة,Al-Shabarah - Qabqabah,الشبارة,Al-Shabarah,7,11
الكدمه,Al-Kadmah,split,الكدمه - العلقميه,Al-Kadmah - Al-Alqamiyah,الكدمه,Al-Kadmah,6,9
القشعه,Al-Qash'ah,split,القشعه - الرشحه,Al-Qash'ah - Al-Rashah,القشعه,Al-Qash'ah,6,10
الغيل,Al-Ghayl,split,الغيل - العزيبه,Al-Ghayl - Al-Aziba,الغيل,Al-Ghayl,5,8
الروينه,Al Ruwayna,split,السويهره - الروينه,Al Suwayhira - Al Ruwayna,الروينه,Al Ruwayna,7,10
الحقل,Al-Haqal,original,,,الحقل,Al-Haqal,5,8
نمره,Nimrah,split,نمره - القبقاب,Nimrah - al-Qabqab,نمره,Nimrah,4,6
العشيرة,Al-Ashira,split,العشيرة - حرثه,Al-Ashira - Hartha,العشيرة,Al-Ashira,7,9
الحد - الضويحه,Al-Dhuwayhah,original,,,الحد - الضويحه,Al-Dhuwayhah,14,12
العفيرة,Al-Afirah,split,العفيرة - النزيهه,Al-Afirah - Al-Nazihah,العفيرة,Al-Afirah,7,9
الهشام,Al-Hasham,split,حنه العليا - الهشام,Hannah Al-Ulya - Al-Hasham,الهشام,Al-Hasham,6,9
القطف,Al-Qatif,split,القاعده - القطف,Al-Qa'idah - Al-Qatif,القطف,Al-Qatif,5,8
العريش,Al-Arish,split,العريش - الرونه,Al-Arish - Al-Rawnah,العريش,Al-Arish,6,8
الموسنه,Al-Musinah,split,الموسنه - حسى الاحمر,Al-Musinah - Hasi Al-Ahmar,الموسنه,Al-Musinah,7,10
وادي الاحمر,Wadi Al-Ahmar,split,وادي الاحمر - الجبيليه,Wadi Al-Ahmar - Al-Jubailiya,وادي الاحمر,Wadi Al-Ahmar,11,13
وادي الشط,Wadi Al-Shatt,split,وادي الشط - العكم,Wadi Al-Shatt - Al-Akam,وادي الشط,Wadi Al-Shatt,9,13
حنه العليا,Hanna Al-Ulya,split,حنه العليا - الفاقع,Hanna Al-Ulya - Al-Faqi',حنه العليا,Hanna Al-Ulya,10,13
الشاقه,Al-Shaqa,split,الردف - الشاقه,Al-Radf - Al-Shaqa,الشاقه,Al-Shaqa,6,8
