input_skeleton,output_english
Alnqyl,Al-Naqil
hsyb almshahrh,Hasib Al-Mashahirah
Alzhyrh,Al-Zuhaira
Alsh'yb,Al-Shuaib
Al'lqmyh,Al-Alqamiyah
Alqhyfh,Al-Qahifah
Almhdadh,al-Mahdadah
Alazywd,Al-Azyoud
Aldhhrala'la,Al-Dhahr Al-A'la
qrwsh,Qurosh
Aldwl,Al-Dawl
Alhlysh,Al-Halisa
AlJahly,Al-Jahili
Alwqf,Al-Waqf
Alnwazl,Al-Nawazil
AlrJhh,Al-Rajhah
hwb hady,Hub Hadi
Alashraf,al-Ashraf
wady s'adh,Wadi Sa'adah
Almhylbh,Al-Mahilba
Alghyl,Al-Ghayl
Alhnda,Al-Hindi
Alkdhh,Al-Kadha
Alskrnh,Al-Sukranah
Alrahh,Al-Raha
dhy albr'  alsnh,Thee Al-Bara-Al-Sanah
AlTwyr,Al-Tuwair
Alasbal,Al-Asbal
Alswyhrh,Al Suwayhira
y'aqbh,Yaaqaba
Alsryh,As-Sarih
nmrh,Nimrah
rhbh,Rahbah
Alsnmh,Al-Sunmah
Alsfa',Al-Safa
AlTwyr,Al-Tuwair
mqdm ras,Muqaddam Ras
Alzghbry,Al-Zaghbari
Alshqyrh,Al-Shuqayrah
Alhnyb,Al-Hunayb
rhbh,Rahbah
Albwal',Al-Bawali
Aldhnbh,Al-Dhanba
Alt'brh,Al-Ta'abrah
Alrdf,Al-Radf
bny 'ly,Bani Ali
Alqshayb,Al-Qashayib
AlJbanh,Al-Jabana
nmrh,Nimrah
Aldbylh,Al-Dabilah
Alkwyhh,Al-Kuwayhah
mbt'h,Mabta'ah
hnh al'lya,Hanna Al-Ulya
Alskhynh,Al-Sakhina
Alhqybh,Al-Haqiba
Al'rysh,Al-Arish
Almdawr,Al-Madawer
Aldarbh,Al-Daribah
bny 'amr,Bani Amer
Aldayry alshmaly,Al-Da'iri Al-Shamali
AlaTraf,Al-Atraf
Alghyl,Al-Ghayl
AldyJh,Ad-Dhayjah
Alshqh,Al-Shaqqah
Alghrafy,Al-Gharrafi
Almzandh,Al-Mazanda
AlmhTh,Al-Mahatta
Alqshy'h,Al-Qash'iyah
Alnwbh,Al-Nawbah
kmb an saldw,Camp An Saldo
Alsfalyh,Al-Sufaliyah
Alhsyb,Al-Hasib
Alhymh,Al-Haymah
bny mlyk,Bani Malik
hsb almhrq,Hasb almahriq
wady mwthb,Wadi Muthab
Alkdhh,Al-Kadha
AlTwyr,Al-Tuwair
Alwhyz,Al-Wahiz
wdn alzbyda,Wadan al-Zubaidi
Albqyn,Al-Baqin
Aldwsh,Al-Doush
sylh alhdynh,Saylat Al-Hadina
Al'ardh,Al-'Arida
AlmnJarh,Al-Manjarah
Alwad,Al-Wad
sh'bw,Sha'bu
khrshbh,Kharshaba
Al'qylh,al-Aqila
Almqlb,Al-Maqlab
Alqshyq,Al-Qashiq
Alm'sar,Al-Ma'sar
akmh alrmad,Akmat Al-Ramad
Alm'yTh,Al-Mu'ayta
AlJrybh,Al-Juraybah
Al'fyrh,Al-Afira
Almnakh,al-Manakh
Alswyrh  alm'srh,Al-Sawerah-Al-Ma'asrah
ahwal kryf,Ahwal Krif
mqdm ras,Muqaddam Ras
Alqhfh,Al-Qahfah
Alnasy,Al-Nasi
AldyJh,Al-Dhayjah
Aldhhr,Al-Dhahr
dhy albr'  alsba',Thee Al-Bara-Al-Saba
Aldhnbh,Al-Dhanbah
Alhdbh alhmra',Al-Hadba Al-Hamra
Jhzr,Jahzar
bny 'ly,Bani Ali
Alsh'wb,Al-Shu'ub
Alshlbyh,Al-Shalabiya
Alm'trd,Al-Mu'tarid
daralslam,Dar Al-Salam
Alkdyhh,Al-Kadihah
Alswyrh  alJbah,Al-Sawerah-Al-Jabah
dhl aldymh,Dahl al-Dima
Alnqyrh,Al-Nuqayra
Alshbarh,Al-Shabarah
wady alshT,Wadi al-Shatt
bny 'amr,Bani Amer
khbkhb,Khabkhab
Alkhnyf,Al-Khanif
Alswyhrh,Al Suwayhira
AlTwyr,Al-Tuwair
Alqr'a',Al-Qara'a
Almkha',Al-Mukha
'bd alqadr,'Abd Al-Qadir
AlJm'h,Al-Jum'ah
ghyl alhadnh,Ghayl Al-Hadina
AlhJfh,Al-Hajfah
Alhamly,Al-Hamli
Jbl alhkymh,Jabal al-Hakimah
nJd 'qab,Najd Aqab
Alsnmh,Al-Sanmah
Jsr rsyan,Rasian Bridge
sh'bh alnqyl,Sha'bat Al-Naqil
Aldar,Al-Dar
Alghdyr,Al-Ghadir
AlhyaJy,Al-Hayaji
Alashraf,Al-Ashraf
hnh al'lya,Hannah Al-Ulya
Almzandh,Al-Mazanda
qbnh,Qubnah
Alqmaryh,Al-Qamariya
Alazywd,Al-Azyoud
Al'ardh,Al-'Ardah
Alswyrh  alhJmh,Al-Sawerah-Al-Hajmah
bny dryghm,Bani Drigham
Alqwz,Al-Qawz
Alghryf,Al-Gharif
maghrh,Magharah
Al'fyrh,Al-Afira
hsyb alhayT,Hasib Al-Ha'it
Aladrws,Al-Adrus
Almqrwdy,Al-Maqrudhi
Alazywd,Al-Azyoud
Alsyf,Al-Saif
Alm'Tabh alsfla,Al-Ma'tabah Al-Sufla
Alqashmyh,Al-Qashmiya
Alhrz,Al-Harz
J'ashy,Ja'ashi
Aldmahyh,Al-Damahiyyah
Alghlh,Al-Ghalah
wahJh,Wahjah
Alymnh,Al-Yamana
Alkymh,Al-Kima
mbt'h,Mubta'a
Alnshyfh,An-Nashifa
AlJwny,Al-Jawni
Al'rynh,Al-Arina
AlJahly,Al-Jahili
sh'b alashwl,Sha'b al-Ashwal
Alzhyb,Al-Zuhayb
nwbh 'amr,Nawbat Amer
AlJbyl,Al-Jubayl
sh'bh alm'lamh,Sha'bat Al-Ma'alamah
Alkdyhh,Al-Kadiha
Alhd,Al-Had
Almwsnh,Al-Musinah
Alkbab,Al-Kabab
Aldar,Al-Dar
wady mksb,Wadi Makasab
Alsblh,Al-Sabla
bny 'ly,Bani Ali
Alsnmh,Al-Sunmah
Alswyrh  almrb'h,Al-Sawerah-Al Murbah
bny 'amr,Bani Amer
Almqsh',Al-Muqsha'
Alghlh,Al-Ghalah
Al'Jnd,Al-'Ajand
AlrhyTh alsfla,Al-Rahitah Al-Sufla
Alswyda',Al-Suwayda'
AlJradh,Al-Jaradah
Almzandh,Al-Mazanda
Alsnmh,Al-Sanmah
Alqdymh,Al-Qadima
Alswyhrh,Al Suwayhira
Alblyly,Al-Balili
AlmhJm ala'la,Al-Mahjam Al-A'la
Al'ardh,Al-Ardah
Alhsb,Al-Hasab
Alkdyhh,Al-Kadihah
AldyJh,Al-Dhayjah
Alrwa',Al-Rawaa
Alswyhrh,Al-Suwayhirah
AlJbyh,al-Jubayyah
AlJrayb,Al-Jara'ib
sh'b alfqyh,Sha'ab al-Faqih
AlshJnh,Al-Shajna
Almwsnh,Al-Musinah
AlhJyrh,Al-Hujayrah
rhbh,Rahbah
Alkhrab,Al-Kharab
Alghbyl,Al-Ghabil
mwz',Mawza'
Alsh'yb,Al-Shuaib
Alswyrh  mhrwdh,Al-Sawerah-Mahroudah
Alasyfyh,Al-Asifiya
Alzhara,Al-Zuhari
sh'b alqma'r,Sha'ab al-Qama'ir
bny dryghm,Bani Drigham
bny hJaJ,Bani Hajjaj
hnh al'lya,Hanna Al-Ulya
Almhlyh,Al-Mahaliyah
Alhyymh,Al-Haymah
y'aqbh,Yaaqaba
wady ryn,Wadi Rin
Alm'Tabh al'lya,Al-Ma'tabah Al-Ulya
Alqbqab,al-Qabqab
'rasw,'Arasu
Almnyqd,Al-Munayqid
Almbayd,Al-Mubayidh
Alghrafy,Al-Gharrafi
Jbl alb'ysy,Jabal Al-Ba'isi
Alkdhh,Al-Kadha
Alghwbqh,Al-Ghubaqah
Alhbybh,Al-Habibah
Almqybrh,Al-Maqibra
Albrhh,Al-Barhah
Al'fyrh,Al-Afira
AlmzJaJh,Al-Muzajajah
nwbh alqsysa,Nawbat Al-Qasisi
Alsqayh,Al-Saqaya
Alqs'h,Al-Qas'a
Almbra',Al-Mabra'
Almqys',Al-Muqaysi'
hadyh,Hadhiyah
Alhbwh alTwyl,Al-Habwa Al-Tawil
Jbl qrad,Jabal Qarad
bny dryghm,Bani Drigham
Al'shyrh,Al-Ashira
Alm'amrh,Al-Ma'amara
hnh al'lya,Hannah Al-Ulya
Alqsh'h,Al-Qash'ah
Alkwyhh,Al-Kuwayhah
Al'rysh,Al-Arish
dhy albr'  alqryh,Thee Al-Bara-Al-Qaryah
AlshTyn,Al-Shattin
Alhnany,Al-Hanani
Alfahm,Al-Fahim
Alsh'wbh,Al-Shu'ubah
Alswyda',Al-Suwayda'
Alzhyrh,Al-Zuhaira
Alshbarh,Al-Shabarah
AlTwylh,Al-Tawilah
Alzghbry,Al-Zaghbari
Alshqyra',Al-Shuqayra
dbyrh,Dhabirah
Alshqyra',Al-Shaqira'
Alhyymh,Al-Haymah
byt alswfy,Bayt al-Sufi
Al'amrh,Al-Amirah
'qmat,'Aqamat
AlnJd ala'la,Al-Najd Al-A'la
ykhtl,Yakhtal
Jhzr,Jahzar
AlhwJb,Al-Hawjab
AlJrwbh,Al-Jarouba
mwz',Mawza'
Alkhyfh,Al-Khaifah
Trh alJ'yrh,Tarrah Al-Ja'irah
Almth'wb,Al-Math'ub
Alhryqyh,Al-Hariqiya
mbt'h,Mubta'a
wady mksb,Wadi Makasab
Al'rysh,Al-Arish
Almqrh,Al-Muqrah
Alhbwh alswda',Al-Habwah Al-Sawda'
AlhJJ,Al-Hujaj
Almqahy,Al-Maqahi
Alzrybh,Al-Zaribah
Jbl alnar,Jabal Al-Nar
Alrkybh,Al-Rukaybah
Alhnkh,Al-Hanakah
Alkadhyh,Al-Kadhiyah
Alzghbry,Al-Zaghbari
mwz',Mawza'
Alhyymh,Al-Haymah
shba'h,Shaba'ah
Aldwar,Al-Dawar
Alqmbryh,Al-Qambariyah
Jrat,Jarat
hyJh alnqyl,Hayjat An-Naqil
mbt'h,Mubta'a
Al'qmh,Al-Aqmah
Al'rysh,Al-Arish
Alwhyz,Al-Wahiz
Almqald,Al-Maqalid
Alkwyhh,Al-Kuwayhah
AlTwyr,Al-Tuwair
bny 'amr,Bani Amer
dbyrh,Dhabira
bny hJaJ,Bani Hajjaj
AlmJarb,Al-Majarib
Alshqyra',Al-Shuqayra
hsaalhafa,Hassi Al-Hafi
Jbl alhkymh,Jabal al-Hakimah
bny 'ly,Bani Ali
Aldhnbh,Al-Dhanbah
qra alhaJ,Qura Al-Hajj
qwah,Qawah
Alqsh'h,Al-Qash'ah
Alqrf ala'la,Al-Qarf Al-A'la
Ala'srh,Al-A'sarah
Almyna',Al-Mina'
Alqhfh,Al-Qahfah
Alhd,Al-Had
Alazywd,Al-Azyoud
Alnwazl,Al-Nawazil
Al'was,Al-Awas
AldyJh,Ad-Dhayjah
bny alhkm,Bani Al-Hakam
ykhtl,Yakhtal
Al'rysh,Al-Arish
Almhryq,Al-Mahriq
Alm'amrh,Al-Ma'amrah
AldyJh,Ad-Dhayjah
Al'qmh,Al-Aqmah
Alml'b ala'la,Al-Mal'ab Al-A'la
Almqys',Al-Muqaysi'
bwmyh,Bumiya
Alhrf,Al-Harf
Alahwab,al-Ahwab
Almsh'arala'la,al-Mish'ar al-A'la
hadyh,Hadhiyah
nmrh,Nimrah
Aldhnbh,Al-Dhanba
Alsh'yb,Al-Shuaib
hsa alhraz,Hasi Al-Haraz
Alshqyra',Al-Shuqayra
Alkdyhh,Al-Kadihah
Alfry'h,Al-Fari'ah
Alshadhlyh,Al-Shadhiliyah
AlJryb,Al-Jarib
hsyb alJrwbh,Hasib Al-Jarouba
Alqshwb',Al-Qashub'
Aldhhrh,al-Dhahra
Almkha',Al-Mukha
wady albyr,Wadi Al-Bir
ahwal kryf,Ahwal Krif
Al'qmh,Al-Aqmah
Alnshyfh,An-Nashifa
mhaTbh,Mahataba
Almsahr,Al-Masahir
hsb aldhnbh,Hasab Al-Dhanbah
AlJ'adyh,Al-Ja'adiyah
Alaqshab,Al-Aqshab
Al'ardh,Al-'Arida
Ala'Tf,Al-Ataf
Al'qmh,Al-Aqmah
hJm al'Jl,Hajam Al-'Ajal
mhlwmyn,Mahlumin
byt alhrf,Bayt al-Harf
Alm'Tab ala'la,Al-Ma'tab Al-A'la
AlshryJ,Al-Sharij
AlhJafyh,Al-Hajafiyah
Alhywh,Al-Haywah
bwmyh,Bumiya
Almsha'b,Al-Masha'ib
Almzandh,Al-Mazanda
Alqryn,Al-Qarin
Alkbh,Al-Kabba
shraT,Sharat
bny mlyk,Bani Malik
Alshbarh,Al-Shabara
Albyt alasfl,Al-Bayt Al-Asfal
J'ashy,Ja'ashi
AlqTaTh,Al-Qatatah
Al'qmh,Al-Aqmah
Aldwsh,Al-Doush
Aldbyrh,Al-Dhabira
Alghyl,Al-Ghayl
y'aqbh,Yaaqaba
Alrwnh,Al-Rawnah
Alzghbry,Al-Zaghbari
AlqTnh,Al-Qatna
sh'bw,Sha'bu
mwz',Mawza'
Almdyl',Al-Mudayli'
Albyhany,Al-Bayhani
J'ashy,Ja'ashi
Alsnmh,Al-Sunmah
Alqfa'yh,Al-Qafa'iya
Alshadhlyh,Al-Shadhiliyah
Almqlb,Al-Maqlab
Alhdabyh,Al-Hadabiyah
Alkdf,Al-Kadf
daralkdf,Dar Al-Kadif
Alazywd,Al-Azyoud
AlmJranyh,Al-Majraniya
Alswdad,Al-Sudad
Alakhl,Al-Akhal
Alqyanh,Al-Qiyanah
Alqrf,Al-Qarf
Alrwas,Al-Rawas
Al'ra'r,Al-Ara'ir
bny hJaJ,Bani Hajjaj
Alhymh,Al-Haymah
Jrabh,Jarabah
Al'shyrh,Al-Ashira
wady s'adh,Wadi Sa'adah
Alkdhh,Al-Kadha
Aldwr,Al-Dur
Alghyl,Al-Ghayl
AlshJybh,Al-Shujayba
Al'fyf,Al-Afif
mqbnh,Maqbanah
wady alm'qm,Wadi Al-Mu'aqam
Alfaq',Al-Faqi'
Alhmydh,Al-Hamida
Aladrws,Al-Adrous
Almzandh,Al-Mazanda
Al'rysh,Al-Arish
sh'bw,Sha'bu
mwz',Mawza'
Almdahy,Al-Madhahi
wady mksb,Wadi Makasab
Alrmadh,Al-Ramada
Almqys',Al-Muqaysi'
nJdalbyr,Najd Al-Bir
qsh'h alsbyl,Qash'at Al-Sabil
Alghabrh,Al-Ghabirah
Alkrabyh,Al-Karabiyah
Alghyl,Al-Ghayl
AlhywJ,Al-Hayyuj
AlhJynh,Al-Hajinah
hrthh,Hartha
shrh,Sharh
Alnwbh,Al-Nawbah
Almnzlh,Al-Manzilah
Aldhhrh,Al-Dhahra
qradh,Qaradha
dbylh alrbwh,Dabilat Al-Rabwa
Aldwsh,Al-Doush
Alghyl,Al-Ghayl
sh'b alahmr,Sha'b Al-Ahmar
Aldl'mh,Al-Dal'amah
Al'qmh,Al-Aqmah
Almhmr,Al-Muhammar
AlJm'h,Al-Jum'ah
Aladrws,Al-Adrous
Alrwqnh,Al-Rawqnah
Al'qyqyn,Al-Aqiqayn
Alsradh,Al-Saradih
Alnwazl,Al-Nawazil
Alrdf,Al-Radf
rhbh,Rahbah
Alkhyryan,Al-Khairiyan
Al'mdh,Al-Umda
Al'ardh,Al-'Arida
Alhd,Al-Had
Almqdhdh,Al-Muqadhth
yfrs,Yafrus
Al'fyrh,Al-Afira
Alhmrh,Al-Hamra
ttr asfl,Tatar Asfal
bny mlyk,Bani Malik
Alrdf,Al-Radf
sdan,Sadan
shbyh,Shabih
Alakmh,Al-Akmah
Alqsbh,al-Qasbah
'sq,Asaq
Almghny,Al-Mughni
bny hJaJ,Bani Hajjaj
Alghrafy,Al-Gharrafi
Alhyymh,Al-Haymah
akmh albyda',Akmat Al-Bayda'
AlTwyr,Al-Tuwair
Alzry'y,Al-Zurai'i
Alrdf,Al-Radf
mqdm ras,Muqaddam Ras
Al'qmh,Al-Aqmah
AlTnyhh,Al-Taniha
Almdafn,Al-Madafin
AlbTah,Al-Bataah
Alsh'yb,Al-Shuaib
Almshrah,Al-Mashrah
AlmJwyr,Al-Majawir
hsyb almhwq,Hasib Al-Mahouq
Alhsb,Al-Hasab
Alqrbh,Al-Qurba
Alm'qr,Al-Ma'qar
AlmhaJmh,Al-Muhajima
Alahyws,Al-Ahayus
Alrfsh,Al-Rafsah
wady albyr,Wadi Al-Bir
Alzwym,Al-Zuwaim
Alrmh,Al-Rummah
Alghwbqh,Al-Ghubaqah
Alwady,Al-Wadi
Alhsyn,Al-Husayn
AlJbl,Al-Jabal
Alsna'h,Al-Sina'ah
AlTwr,the Tur
Almslab,Al-Musallab
dar alshJa',Dar Al-Shuja'
AlhyaJy,Al-Hayaji
Alaqrwd  alJbah,Al-Aqrouth -Al-Jabah
Alhqafr,Al-Haqafir
Alsyfyh,Al-Sayfiyah
Alnwazl,Al-Nawazil
Alkhadyd,Al-Kahadid
Alhfrh,Al-Hafra
Alnwbh,Al-Nubah
dwmh alsbyhy,Dumat Al-Subaihi
Alkrathh,Al-Karatha
Alkrbh,Al-Karbah
Alsfydh,Al-Safida
hnh al'lya,Hanna Al-Ulya
Al'qmh,Al-Aqmah
'sq,Asaq
nmrh,Nimrah
nwbh 'amr,Nawbat Amer
Albrh,al-Barh
astrh,Istarh
Alswyhrh,Al-Suwayhirah
Jhzr,Jahzar
hsyb alqwbh,Hasib Al-Qubbah
AlTmyr,Al-Tamir
mbt'h,Mabta'ah
Al'Jma,Al-Ajami
Alsadh,Al-Sadah
Almnasyb,Al-Manasib
hsb aldwr,Hasab Al-Dur
mhaTbh,Mahatabah
Aldhnbh,Al-Dhanbah
Al hmydan,Al-Humaidan
AlJmymh,Al-Jamimah
Alghyl,Al-Ghayl
Alzbh,Al-Zubah
AlJbylyh,Al-Jubailiya
Alqsh'h,Al-Qash'ah
AlqTnh,Al-Qatna
bny dryghm,Bani Drigham
Alshwyrh,Al-Shuwayrih
Alqhfh,Al-Qahfah
Almshaqyh,Al-Mashaqiyah
bny dryghm,Bani Drigham
Alkdhh,Al-Kadha
Alrhyh,Al-Rahiyah
hdbh alghryb,Hadbat Al-Gharib
Al'fyrh,Al-Afira
Aldwyrh,Al-Duwaira
qshwbh,Qashoubah
Alhqybh,Al-Haqibah
Alm'y'h,Al-Mu'ayyah
AlrJym,Al-Rajim
dar almkhwla,Dar Al-Makhouli
sh'b aldhyb,Sha'ab Al-Dhib
AlshTyT,Al-Shatit
ghbyra',Ghubayra
Alqsh'h,Al-Qash'ah
Al'lylh,Al-Alila
AlqTyn,Al-Qateen
Alrshyh alasfl,Al-Rashih Al-Asfal
Almwsnh,Al-Musinah
mqdm ras,Muqaddam Ras
Jhzr,Jahzar
Almzandh,Al-Mazanda
Alsnmh,Al-Sanmah
kfayh,Kafa'a
Alkbh,al-Kabbah
Aldayry alJnwby,Al-Da'iri Al-Janoubi
Alsymal,Al-Simal
hsa alahmr,Hasi Al-Ahmar
Alqfanyn,Al-Qafanin
Alazywd,Al-Azyoud
AlmJarbh,Al-Majaribah
nmrh,Nimrah
Alzhyrh,Al-Zuhaira
Almshahrh,Al-Mashahirah
Al'rysh,Al-Arish
Al'waTf,Al-Awatif
dhy albr'  mqbr alsrwrh,Thee Al-Bara-Maqbar Al-Sarurah
AlqTnh,Al-Qatna
Alzghbry,Al-Zaghbari
Al'fyrh,Al-Afirah
Alkdmh,Al-Kadmah
Almshqr,Al-Mushaqqar
qnahw bn 'ly,Qanahu Bin Ali
AlqTnh,Al-Qatna
Alzwyn,Al-Zuwain
Alshqyra',Al-Shaqira'
Alrkz,al-Rukz
AlTrybh,Al-Tariba
shbyh,Shabih
AlhyJh,Al-Hayjah
AlJzlh,Al-Jazla
hadyh,Hadhiyah
Alrqysh,Al-Raqisa
Alqhfh,Al-Qahfah
AlJry'h,Al-Jari'ah
Alhqaryn,Al-Haqariin
mhaTbh,Mahatabah
Alkhrba',Al-Kahraba
bny hJaJ,Bani Hajjaj
Alghyl,Al-Ghayl
Alshadhlyh,Al-Shadhiliyah
Alsymal,Al-Simal
sfwnh,Safuna
Alhrthh,Al-Harthah
Al'fyrh,Al-Afira
Alhymh,Al-Haymah
Alm'swq,al-Ma'suq
AlmkhrJ,Al-Makhraj
mdhy 'bdallh,Madhi Abdullah
Alhymh,Al-Haymah
mwq',Mawqa'
Jbl alhkymh,Jabal Al-Hakimah
AlbTnh,Al-Batnah
byt alshmyry,Bayt al-Shamiri
Alqshayb,Al-Qashaib
shT m'wdh,Shat Mu'awwah
nmrh,Nimrah
rJhh almsJd,Rajhat Al-Masjid
AlJryb,Al-Jarib
mqbnh,Maqbanah
hys,Hays
AlmJz',al-Majza'
Albryhan,Al-Barihan
Al'qmh,Al-Aqmah
Jdymh,Jadima
hdyJh,Hadijah
Alhsb,Al-Hasab
Alql'h,Al-Qal'ah
AlTwyr,Al-Tuwair
Alrdf,Al-Radf
bwmyh,Bumiya
Alsqy',Al-Saqee'
dhl alsmh,Dahl Al-Samh
Alqsh'h,al-Qash'a
AlJradyh,Al-Jaradiyah
Alshadhlyh,Al-Shadhiliyah
Almtwn,Al-Mutun
Alazwam,Al-Azwam
AlJab,Al-Jab
Alrhab,Al-Rahab
Al'Jl,Al-Ajal
daJnh,Dajna
qhyfh almsh'ar,Qahifat al-Mish'ar
Alhmrh,Al-Hamrah
Almqr'y,Al-Muqra'i
nmrh,Nimrah
Aldwyhh,Al-Dhuwayha
Alhrf,Al-Harf
Almsylh,Al-Masila
Alrwas,Al-Rawas
Alsnmh,Al-Sunmah
Alkhrabh,Al-Kharaba
nJd almydan,Najd Al-Midan
AlJafr,Al-Jafir
AlJbal,Al-Jibal
mwz',Mawza'
Alkhyfh,al-Khaifah
nmrh,Nimrah
AlnJybh,Al-Najibah
Alswyhrh,Al Suwayhira
Jwfyn,Jawfin
Alsh'yb,Al-Shuaib
Aldar,Al-Dar
Alq'Tbyh,Al-Qatabiyah
hnh alsfla,Hannah Al-Sufla
nJdalJrf,Najd Al-Jarf
Almqys',Al-Muqaysi'
Alrq'h,Al-Ruq'ah
AlJnyJrh,Al-Junayjirah
Alswyrh  almwkbh,Al-Sawerah-Al-Mawkabah
nwbh 'amr,Nawbat Amer
'sq,Asaq
Alrad',Al-Rad'
Alghrafy,Al-Gharrafi
Alkdn,Al-Kadan
Alm'aqd,al-Ma'aqid
Alhd,Al-Had
AlnJd,Al-Najd
shT alshamy,Shat Al-Shami
Almhl,Al-Mahal
Alshrf,Al-Sharaf
Jhzr,Jahzar
Albkryh,Al-Bakriya
Alsadhy,Al-Sadhi
mqbnh,Maqbanah
Alsfalyh,Al-Safaliyah
Alqhyzh,al-Qahizah
Alnwazl,Al-Nawazil
wady alahmr,Wadi Al-Ahmar
Alhbshh,Al-Habasha
J'ashy,Ja'ashi
AlmzhaJh,Al-Mazhajah
Alrba'nh,Al-Raba'nah
AlqTy'h,Al-Qati'ah
Alatymh,Al-Atima
Al'fyrh,Al-Afirah
Alshbarh,Al-Shabara
Almwaygh,Al-Mawigh
hnh al'lya,Hanna Al-Ulya
Almkha',Al-Mukha
Almzandh,Al-Mazanda
Jbl al'mry,Jabal Al-Amri
wady alshT,Wadi al-Shatt
Alsyd hsyn,Al-Sayyid Husayn
Almrzam,Al-Marzam
Alsnmh,Al-Sanmah
Al'km,Al-Akam
Alqshb,Al-Qashb
wady s'adh,Wadi Sa'adah
hsb alrahh,Hasab Al-Rahah
Alshbarh,Al-Shabara
Alwhyz,Al-Wahiz
Aldbyrh,Ad-Dhabira
sh'bw,Sha'bo
Alshbarh,Al-Shabarah
mhaTbh,Mahatabah
Albaqryh,Al-Baqiriyah
Alnwbh,Al-Nawba
Almdbayh,Al-Madhbayah
AlJbyh,al-Jubayyah
Alrdf,Al-Radf
Alnwbh,Al-Nuba
mqdm ras,Muqaddam Ras
bny 'amr,Bani Amer
AlJrb,al-Jarb
Alghyl,Al-Ghayl
y'aqbh,Yaaqaba
Al'fyrh,Al-Afira
AlrJhh,Al-Rajhah
Jhzr,Jahzar
Almzandh,Al-Mazanda
Alkdmh,Al-Kadmah
mwz',Mawza'
Aladrws,Al-Adrous
Jhzr,Jahzar
sh'bw,Sha'bu
akmh alhmr,Akmah Al-Hamr
Alshfryn,Al-Shafrayn
AlJbyh,al-Jubayyah
Al'ysm,Al-Aysam
Al'yql,Al-eiqal
dhy khyr,Dhi Khayr
d'lJ,Da'laj
Alhsyb,Al-Hasib
rda'  alshrf,Rada-Al-Sharf
Alzghbry,Al-Zaghbari
y'aqbh,Yaaqaba
Al'rysh,Al-Arish
Alm'amrh,Al-Ma'amara
bny mlyk,Bani Malik
Almtyn,Al-Mateen
byt alshryf,Bayt Al-Sharif
Alnwazl,Al-Nawazil
Altrys,Al-Taris
AldrJ alasfl,Al-Daraj Al-Asfal
AlaJn,Al-Ajan
AlhJrh,Al-Hijrah
hnh al'lya,Hannah Al-Ulya
bwmyh,Bumiya
AlmhJwrh,Al-Mahjoura
bny hJaJ,Bani Hajjaj
bny dryghm,Bani Drigham
Alsmayh,Al-Samayah
bny dryghm,Bani Drigham
mhaTbh,Mahatabah
Alswyrh  aldarat,Al-Sawerah-Al-Darat
hwb alwqy',Hub Al-Waqi'
AlqTna,al-Qatni
AldyJh,Ad-Dhayjah
wady alkbyr,Wadi Al-Kabir
Almghrbh alsfla,Al-Maghribah Al-Sufla
wady mksb,Wadi Makasab
Al'rysh,Al-Arish
khah,Kahah
wady alahmr,Wadi Al-Ahmar
Alhbyh,Al-Habiyyah
qhfh alhraz,Qahfat Al-Haraz
Almqys',Al-Muqaysi'
'kshh,'Akashah
rhbh,Rahbah
Alaqfyh,al-Aqfiyah
Aldwyhh,Al-Dhuwayhah
wady alm'qm,Wadi Al-Mu'aqam
wady s'adh,Wadi Sa'adah
bny dryghm,Bani Drigham
Almfrq,Al-Mafraq
J'ashy,Ja'ashi
Alhql,Al-Haqal
Alghyl,Al-Ghayl
hyJh dawy,Hijah Dhawi
Alswyda',Al-Suwaydah
Alwdn,Al-Wadan
bny hJaJ,Bani Hajjaj
rhbh,Rahbah
Alm'srh,Al-Ma'sara
yfrs,Yafrus
Alkdhh,Al-Kadha
Jbl alhkymh,Jabal Al-Hakimah
hsyb almhwq,Hasib Al-Mahouq
sh'bw,Sha'bu
Alm'Tab,Al-Ma'tab
Alqahr,Al-Qahir
bkhyth,Bakhitah
Alhrdh,Al-Harada
akmh alJyshy,Akmat Al-Jayshi
mqdm ras,Muqaddam Ras
Alnwbh,al-Nuba
Alkhnhh,Al-Khanah
shlan,Shalan
Al'shh,Al-Asha
Almzandh,Al-Mazanda
Ala'rwq,al-'Aruq
Alqhfh,Al-Qahfah
Al'ndhqy,Al-Andhaqi
hsb almas,Hasab Al-Mas
Almdbh,Al-Madhbah
sh'bh alrkz,Sha'bat al-Rukz
wady alahmr,Wadi Al-Ahmar
Alm'trd,Al-Mu'tarid
AlqTan,Al-Qattan
rhbh,Rahbah
wady mksb,Wadi Makasab
Alrkyb,Ar-Rakib
hsa db',Hassi Daba
Alsnmh,Al-Sanmah
Albryh,Al-Barih
Almghdr,Al-Maghdar
khdhfan,Khadhfan
Al'ardh,Al-'Arida
Alslymh,Al-Salima
ykhtl,Yakhtal
Alm'amrh,Al-Ma'amrah
Alrkz,al-Rukz
bny 'ly,Bani Ali
AlmTaya,Al-Mataya
sh'bw,Sha'bu
Jbl alhkymh,Jabal al-Hakimah
Jbl alhkymh,Jabal al-Hakimah
Jhad,Jihad
Almrh al'lya,Al-Murra Al-'Ulya
Alhmra',Al-Hamra'
hmr,Hamr
kmb fshw,Camp Fasho
Al'qmh,Al-Aqmah
Aldwydh,Al-Duwaida
Almhabyl,Al-Mahabil
sh'b albyrk,Sha'ab Al-Birk
